winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,sweet,acidic,link,img,full_name,wine_id
Trimbach,Riesling Alsace 2019,프랑스,Alsace,White wine,Riesling,3.7,"₩50,000",50000,citrus, tree fruit,0.4332561592191089,0.3253751325818418,0.9144296702597156,https://www.vivino.com/trimbach-alsace-riesling-alsace/w/63764?year=2019&price_id=23986594,https://images.vivino.com/thumbs/G8qy3u1eTGGc7l1Pv23azg_pb_x600.png,Trimbach/Riesling Alsace 2019,402
Fetzer,Shaly Loam Gewurztraminer 2012,미국,Monterey County,White wine,Blend,3.7,"₩50,000",50000,tree fruit, earthy,0.7416528018145544,0.9242592017630917,0.08768741886287518,https://www.vivino.com/fetzer-vineyards-shaly-loam-gewurztraminer/w/6235?year=2012&price_id=23467391,https://images.vivino.com/thumbs/yXRoD2NKQPCmdlPYp6Hk0w_pb_x600.png,Fetzer/Shaly Loam Gewürztraminer 2012,162
Kendall-Jackson,Grand Reserve Chardonnay 2013,미국,California,White wine,Chardonnay,3.7,"₩120,000",120000,oaky, citrus,0.9376253185319046,0.581585167344756,0.503099589883648,https://www.vivino.com/kendall-jackson-grand-reserve-chardonnay/w/2121?year=2013&price_id=23467494,https://images.vivino.com/thumbs/2_MpOxMFT7iyG3FNQb8pLA_pb_x600.png,Kendall-Jackson/Grand Reserve Chardonnay 2013,227
Hugel,Classic Riesling 2016,프랑스,Alsace,White wine,Riesling,3.7,"₩50,970",50970,citrus, tree fruit,0.4380639996666697,0.3276794992130337,0.9048201613664303,https://www.vivino.com/hugel-classic-riesling-alsace/w/4417837?year=2016&price_id=21678414,https://images.vivino.com/thumbs/Kub5b2J2QfSpB7SN957Rmw_pb_x600.png,Hugel/Classic Riesling 2016,201
The Federalist,Chardonnay 2016,미국,Mendocino County,White wine,Chardonnay,3.7,"₩150,000",150000,oaky, tree fruit,0.9376253185319046,0.5512694655269265,0.506589678305001,https://www.vivino.com/federalist-chardonnay-mendocino-county/w/5201807?year=2016&price_id=23466111,https://images.vivino.com/thumbs/vTBAz_R8QW69v37s_8Btjg_pb_x600.png,The Federalist/Chardonnay 2016,379
Viu Manent,Secreto Sauvignon Blanc 2015,칠레,Casablanca Valley,White wine,Sauvignon Blanc,3.7,"₩42,106",42106,citrus, tropical,0.45264844768753976,0.05819494869912761,0.7498580061612817,https://www.vivino.com/viu-manent-secreto-sauvignon-blanc/w/2454?year=2015&price_id=10548767,https://images.vivino.com/thumbs/NZDelRyHQQixg5LbM0Ky5A_pb_x600.png,Viu Manent/Secreto Sauvignon Blanc 2015,427
Izadi,Blanco 2013,스페인,Rioja,White wine,Viura,3.7,"₩60,000",60000,oaky, tree fruit,0.7959774068923773,0.20040810979122511,0.5787978490751018,https://www.vivino.com/izadi-blanco-rioja/w/2263847?year=2013&price_id=23467471,https://images.vivino.com/thumbs/yrdfGCBKR-GXZQ7w2oqaNA_pb_x600.png,Izadi/Blanco 2013,209
Gentleman's Collection,Chardonnay (Batch No. 7) 2017,호주,South Eastern Australia,White wine,Chardonnay,3.7,"₩100,000",100000,, tree fruit,0.6704595878804995,0.22555154943530456,0.4858411150250411,https://www.vivino.com/au-gentlemans-collection-chardonnay-batch-no-7/w/4009475?year=2017&price_id=21493615,https://images.vivino.com/thumbs/RYpQcAtsRiyqbwKh4dpNCw_pb_x600.png,Gentleman's Collection/Chardonnay (Batch No. 7) 2017,172
A to Z Wineworks,Chardonnay 2018,미국,Oregon,White wine,Chardonnay,3.7,"₩55,000",55000,tree fruit, oaky,0.5776722592221902,0.0,0.6740544746079347,https://www.vivino.com/a-to-z-wineworks-chardonnay/w/8274?year=2018&price_id=24530332,https://images.vivino.com/thumbs/d2wRkKZ3TtaPF5dGM8W8IA_pb_x600.png,A to Z Wineworks/Chardonnay 2018,4
Martin Ray,Sonoma County Chardonnay 2017,미국,Sonoma County,White wine,Chardonnay,3.7,"₩50,000",50000,oaky, tree fruit,0.8580165125741744,0.4983982498299543,0.5366158329136888,https://www.vivino.com/us-martin-ray-sonoma-county-chardonnay/w/5418533?year=2017&price_id=25660934,https://images.vivino.com/thumbs/0SS9Ne8FTmOKrJkHqfLGKA_pb_x600.png,Martin Ray/Sonoma County Chardonnay 2017,269
A to Z Wineworks,Chardonnay 2015,미국,Oregon,White wine,Chardonnay,3.7,"₩55,000",55000,tree fruit, oaky,0.5776722592221902,0.0,0.6740544746079347,https://www.vivino.com/a-to-z-wineworks-chardonnay/w/8274?year=2015&price_id=24530329,https://images.vivino.com/thumbs/d2wRkKZ3TtaPF5dGM8W8IA_pb_x600.png,A to Z Wineworks/Chardonnay 2015,1
Martin Ray,Sonoma County Chardonnay 2018,미국,Sonoma County,White wine,Chardonnay,3.7,"₩50,000",50000,oaky, tree fruit,0.8580165125741744,0.4983982498299543,0.5366158329136888,https://www.vivino.com/us-martin-ray-sonoma-county-chardonnay/w/5418533?year=2018&price_id=25660935,https://images.vivino.com/thumbs/sh_LYFuoTL6bGw208yLV6g_pb_x600.png,Martin Ray/Sonoma County Chardonnay 2018,270
Errazuriz,150 Anos Edicion Aniversario Max Chardonnay 2019,칠레,Aconcagua Valley,White wine,Chardonnay,3.7,"₩44,000",44000,tree fruit, oaky,0.6455671000002121,0.49284372122906733,0.3840266405954502,https://www.vivino.com/errazuriz-onehundredfifty-anos-edicion-aniversario-max-chardonnay/w/9050009?year=2019&price_id=24562733,https://images.vivino.com/thumbs/Tcqwqhv0Q2uRufwUhRG29Q_pb_x600.png,Errazuriz/150 Anos Edicion Aniversario Max Chardonnay 2019,141
The Federalist,Chardonnay 2015,미국,Mendocino County,White wine,Chardonnay,3.7,"₩150,000",150000,oaky, tree fruit,0.9376253185319046,0.5512694655269265,0.506589678305001,https://www.vivino.com/federalist-chardonnay-mendocino-county/w/5201807?year=2015&price_id=23466110,https://images.vivino.com/thumbs/vTBAz_R8QW69v37s_8Btjg_pb_x600.png,The Federalist/Chardonnay 2015,378
Long Cloud,Reserve Sauvignon Blanc 2018,뉴질랜드,Marlborough,White wine,Sauvignon Blanc,3.7,"₩29,000",29000,citrus, tree fruit,0.28323507033930456,0.15178938376139398,0.8808230168482841,https://www.vivino.com/long-cloud-reserve-sauvignon-blanc/w/7446065?year=2018&price_id=21496145,https://images.vivino.com/thumbs/ZsgswMVqTnmmi5-zwDbfww_150x200.jpg,Long Cloud/Reserve Sauvignon Blanc 2018,244
Protea,Chenin Blanc 2018,남아프리카,Coastal Region,White wine,Chenin Blanc,3.7,"₩28,809",28809,tree fruit, citrus,0.2806589959946722,0.0064982241660579716,0.8855070177033434,https://www.vivino.com/za-protea-chenin-blanc-coastal-region/w/2714672?year=2018&price_id=19011281,https://images.vivino.com/thumbs/Cl0_vuDnRMqDJGuNk_6uYg_pb_x600.png,Protea/Chenin Blanc 2018,312
Feudi di San Gregorio,Falanghina Serrocielo 2014,이탈리아,Falanghina del Sannio,White wine,Falanghina,3.7,"₩65,597",65597,tree fruit, citrus,0.6519230800418111,0.07025374953114036,0.42634365307976146,https://www.vivino.com/feudi-di-san-gregorio-falanghina-serrocielo/w/1631655?year=2014&price_id=7943983,https://images.vivino.com/thumbs/IkAJ47qMRv2rmPXfRrYXjw_pb_x600.png,Feudi di San Gregorio/Falanghina Serrocielo 2014,166
Penfolds,Bin 311 Chardonnay 2015,호주,Tumbarumba,White wine,Chardonnay,3.7,"₩106,373",106373,oaky, citrus,0.5675114236110376,0.1302326082235738,0.5757759130395796,https://www.vivino.com/penfolds-bin-311-chardonnay/w/1249?year=2015&price_id=30195053,https://images.vivino.com/thumbs/PssLM5uXTKqjR-TZqhG0WQ_pb_x600.png,Penfolds/Bin 311 Chardonnay 2015,304
