winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,tannic,sweet,acidic,link,img,full_name,wine_id
J. Lohr Vineyards & Wines,Hilltop Cabernet Sauvignon 2009,미국,Paso Robles,Red wine,Cabernet Sauvignon,4.1,"₩57,619",57619.0,oaky,black fruit,1.0,0.5742501300565469,0.13864351187976834,0.4233604172936102,https://www.vivino.com/j-lohr-vineyards-wines-hilltop-cabernet-sauvignon/w/4327?year=2009&price_id=2873831,https://images.vivino.com/thumbs/8pYZ_c5yQ_Oy3I-wsKWHlg_pb_x600.png,J. Lohr Vineyards & Wines/Hilltop Cabernet Sauvignon 2009,453
Chateau Haut-Batailley,Pauillac (Grand Cru Classe) 2001,프랑스,Pauillac,Red wine,Cabernet Sauvignon,4.1,"₩128,534",128534.0,oaky,black fruit,0.8394255080487076,0.9002609973310775,0.11754434611758556,0.8344253853612866,https://www.vivino.com/chateau-haut-batailley-pauillac-grand-cru-classe/w/1099398?year=2001&price_id=7944017,https://images.vivino.com/thumbs/mgHpssGDSzKzJPtXy0yE0w_pb_x600.png,Château Haut-Batailley/Pauillac (Grand Cru Classé) 2001,209
Freemark Abbey,Sycamore Vineyard Cabernet Sauvignon 2009,미국,Rutherford,Red wine,Cabernet Sauvignon,4.1,"₩400,000",400000.0,,,1.0,0.616382556359065,0.13300329575433956,0.560068211455512,https://www.vivino.com/freemark-abbey-sycamore-vineyard-cabernet-sauvignon/w/11299?year=2009&price_id=23467430,https://images.vivino.com/thumbs/D6S-l4mIQyyAh-beKCGOxw_pb_x600.png,Freemark Abbey/Sycamore Vineyard Cabernet Sauvignon 2009,378
Diora,La Petite Grace Pinot Noir 2011,미국,Monterey,Red wine,Pinot Noir,4.1,"₩80,000",80000.0,oaky,red fruit,0.5193933023409467,0.10119357277492774,0.22845479825388398,0.5604627679138663,https://www.vivino.com/diora-la-petite-grace-pinot-noir/w/3409775?year=2011&price_id=30003952,https://images.vivino.com/thumbs/DYUUOOPcRgy47uApgRIqNg_pb_x600.png,Diora/La Petite Grace Pinot Noir 2011,294
Louis Latour,Gevrey-Chambertin 2016,프랑스,Gevrey-Chambertin,Red wine,Pinot Noir,4.1,"₩280,000",280000.0,red fruit,earthy,0.4501151116278616,0.28066718640161165,0.01980621598282405,0.8638338850436351,https://www.vivino.com/louis-latour-gevrey-chambertin/w/7284?year=2016&price_id=21493499,https://images.vivino.com/thumbs/dRJVVtNOQJiYzJq5PnOtxQ_pb_x600.png,Louis Latour/Gevrey-Chambertin 2016,490
Masseria La Volpe,1 Uno Primitivo di Manduria 2014,이탈리아,Primitivo di Manduria,Red wine,Primitivo,4.1,"₩100,000",100000.0,black fruit,oaky,0.7706393068234895,0.17416819074763717,0.8394567551080231,0.06376433610860333,https://www.vivino.com/la-volpe-one-uno-primitivo-di-manduria/w/3390935?year=2014&price_id=30003934,https://images.vivino.com/thumbs/-E6x68ySQLy-3SDbEy51aQ_pb_x600.png,Masseria La Volpe/1 Uno Primitivo di Manduria 2014,558
Vina Zorzal,Senora de las Alturas 2018,스페인,Navarra,Red wine,Garnacha,4.1,"₩70,000",70000.0,black fruit,earthy,0.6567759916212546,0.3958980238773503,0.3168994557251848,0.5051325776574046,https://www.vivino.com/vina-zorzal-senora-de-las-alturas/w/2481271?year=2018&price_id=30003997,https://images.vivino.com/thumbs/weCSk7uiTeWTpr2-jt1odQ_pb_x600.png,Viña Zorzal/Señora de las Alturas 2018,820
Cune (CVNE),Reserva 2018,스페인,Rioja,Red wine,Viura,4.1,"₩60,000",60000.0,oaky,black fruit,0.7193193647947752,0.7215802496790955,0.15378754268239545,0.6623305580633296,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2018&price_id=24159844,https://images.vivino.com/thumbs/FKb86ppURUq5QFR4g4y_gA_pb_x600.png,Cune (CVNE)/Reserva 2018,289
Domaine de Marcoux,Cotes du Rhone 2017,프랑스,Côtes-du-Rhône,Red wine,Blend,4.1,"₩80,000",80000.0,red fruit,earthy,0.670382220182876,0.5431913002854611,0.06672813195693336,0.5936148727722607,https://www.vivino.com/domaine-de-marcoux-cotes-du-rhone/w/1195177?year=2017&price_id=21496136,https://images.vivino.com/thumbs/Uaem4rPKTNqSYygOVbwRAA_pb_x600.png,Domaine de Marcoux/Côtes du Rhône 2017,323
Robert Mondavi Winery,Cabernet Sauvignon 2004,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.1,"₩83,769",83769.0,oaky,black fruit,1.0,0.6659808916352639,0.15673094443960292,0.5797973718527435,https://www.vivino.com/robert-mondavi-winery-cabernet-sauvignon/w/2425?year=2004&price_id=15198810,https://images.vivino.com/thumbs/PEEyo-W1S9i8qOn9L7YkqQ_pb_x600.png,Robert Mondavi Winery/Cabernet Sauvignon 2004,712
